"","TARGET_AMT","KIDSDRIV","AGE","HOMEKIDS","YOJ","INCOME","HOME_VAL","TRAVTIME","BLUEBOOK","TIF","OLDCLAIM","CLM_FREQ","MVR_PTS","CAR_AGE","PARENT1_Yes","MSTATUS_Yes","SEX_M","EDUCATION_Bachelors","EDUCATION_High.School","EDUCATION_Masters","EDUCATION_PhD","JOB_Blue.Collar","JOB_Clerical","JOB_Doctor","JOB_Home.Maker","JOB_Lawyer","JOB_Manager","JOB_Professional","JOB_Student","JOB_Unknown","CAR_USE_Commercial","CAR_TYPE_Minivan","CAR_TYPE_Panel.Truck","CAR_TYPE_Pickup","CAR_TYPE_Sports.Car","CAR_TYPE_SUV","CAR_TYPE_Van","RED_CAR_yes","REVOKED_Yes","URBANICITY_Rural","AGE_sin","TIF_sin","BLUEBOOK_sin","CAR_TYPE_AMT_BIN","EDUCATION_AMT_BIN","JOB_TYPE_AMT_BIN","INCOME_AMT_BIN","YOJ_AMT_BIN","HOME_VAL_AMT_0_10K_BIN","HOME_VAL_AMT_60K_400K_BIN","OLDCLAIM_AMT_0_2K_BIN","OLDCLAIM_AMT_2K_10K_BIN","CLM_FREQ_AMT_BIN","MVR_PTS_AMT_BIN","CAR_AGE_AMT_BIN","TRAVTIME_AMT_BIN"
"78",2425,0,53,0,6,38036,153381,32,13140,1,0,0,4,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.395925150181834,0.841470984807897,0.958607298198026,0,1,1,1,0,0,1,1,0,1,0,1,0
"86",5711,0,34,3,0,0,66358,25,11740,9,1800,2,2,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.529082686120024,0.412118485241757,0.13136567223781,0,1,0,1,0,0,1,1,0,1,1,1,0
"88",13105.327626,0,41,0,10,66265,159276,59,12230,4,0,0,1,9,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,-0.158622668804709,-0.756802495307928,0.218425213006186,0,0,1,1,1,0,1,1,0,1,1,0,0
"89",4061,0,46,0,7,54046,161160,17,23350,13,4678,3,6,17,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0.901788347648809,0.420167036826641,0.993667068616826,1,0,1,1,1,0,1,0,1,1,0,0,1
"92",7838,0,33,4,0,0,0,14,15090,1,1631,1,2,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0.999911860107267,0.841470984807897,-0.801909681497092,0,1,0,1,0,1,0,1,0,1,1,0,1
"93",3660,0,37,0,0,54046,73890,48,12850,7,0,0,3,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,-0.643538133356999,0.656986598718789,0.774577501658716,0,0,0,1,0,0,1,1,0,1,0,0,0
"95",5125,0,47,0,11,44705,217885,50,12840,1,1533,2,0,10,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.123573122745224,0.841470984807897,-0.305843996862451,0,0,1,1,1,0,1,1,0,1,1,0,0
"99",2143,0,52,0,7,64014,244863,33,7900,4,8882,3,1,5,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.986627592040485,-0.756802495307928,0.893699315464349,0,1,1,1,1,0,1,0,1,1,1,0,0
"105",2114,0,41,1,8,126468,0,34,32690,3,0,0,2,18,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.158622668804709,0.141120008059867,-0.987600042586619,0,0,0,0,1,1,0,1,0,1,1,0,0
"109",8671,1,38,1,12,37580,173495,36,5260,7,867,2,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.296368578709385,0.656986598718789,0.827082917072087,0,1,0,1,1,0,1,1,0,1,1,1,0
"110",6287,0,41,2,15,23344,147172,10,7930,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.158622668804709,0.841470984807897,0.581151001591042,0,1,1,1,1,0,1,1,0,1,1,1,1
"120",1807,1,43,2,11,76159,0,52,19750,4,0,0,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,-0.831774742628598,-0.756802495307928,0.929484606713534,0,0,1,1,1,1,0,1,0,1,1,0,0
"122",10593.946633,0,42,0,0,0,161160,47,5700,11,0,0,5,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,-0.916521547915634,-0.999990206550703,0.913141966452114,0,1,0,1,0,0,1,1,0,1,0,1,0
"129",6158,0,43,2,15,49849,0,35,13130,1,3622,3,4,20,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.831774742628598,0.841470984807897,-0.959240058240277,0,0,1,1,1,1,0,0,1,1,0,0,0
"130",4887,1,39,1,16,12054,0,28,15760,4,1738,2,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.963795386284088,-0.756802495307928,0.97997642695433,0,1,0,1,1,1,0,1,0,1,0,1,0
"132",5147,0,60,3,18,78936,235670,40,20350,6,0,0,0,15,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.304810621102217,-0.279415498198926,-0.944874123116259,0,0,1,1,0,0,1,1,0,1,1,0,0
"154",6087,0,42,0,12,136344,0,45,13160,1,0,0,0,17,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.916521547915634,0.841470984807897,0.131246138795947,0,0,0,0,1,1,0,1,0,1,1,0,0
"162",3894,0,39,0,12,32936,169721,12,1500,6,0,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.963795386284088,-0.279415498198926,-0.993901956906654,0,1,0,1,1,0,1,1,0,1,1,0,1
"164",2659,1,45,3,0,0,0,36,16510,4,17445,3,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.850903524534118,-0.756802495307928,-0.801981714074027,0,1,0,1,0,1,0,0,0,1,1,1,0
"170",6693,0,53,0,15,84345,264549,36,9930,4,0,0,3,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.395925150181834,-0.756802495307928,0.543312705668557,0,0,0,1,1,0,1,1,0,1,0,0,0
"176",4380,0,42,0,10,43174,208811,48,10020,13,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,-0.916521547915634,0.420167036826641,-0.993981471344241,0,1,1,1,1,0,1,1,0,1,1,1,0
"177",1826,0,31,2,14,30653,0,41,12930,13,35666,2,0,7,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.404037645323065,0.420167036826641,-0.714117184157922,0,1,0,1,1,1,0,0,0,1,1,0,0
"179",6716,3,36,4,0,54046,0,54,1500,4,0,0,5,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.991778853443116,-0.756802495307928,-0.993901956906654,0,1,0,1,0,1,0,1,0,1,0,0,0
"186",53571.214081,0,36,3,11,49703,253132,37,42550,1,35879,1,0,20,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,-0.991778853443116,0.841470984807897,0.265863722736768,1,0,1,1,1,0,1,0,0,1,1,0,0
"189",4257,0,53,0,13,25289,108139,31,13850,1,0,0,0,7,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.395925150181834,0.841470984807897,0.958590130359802,0,1,0,1,1,0,1,1,0,1,1,0,0
"191",4277,0,31,3,14,26112,117229,58,14030,3,0,0,0,5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,-0.404037645323065,0.141120008059867,-0.345518193965354,0,1,0,1,1,0,1,1,0,1,1,0,0
"192",19597.135871,0,58,0,12,131560,161160,40,14870,1,0,0,2,14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.992872648084537,0.841470984807897,-0.745956948574574,0,0,0,0,1,0,1,1,0,1,1,0,0
"203",2738,1,59,1,12,119382,0,26,24130,13,0,0,0,16,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0.636738007139138,0.420167036826641,0.542300026905461,0,0,0,1,1,1,0,1,0,1,1,0,0
"208",1146,0,57,0,14,8212,0,5,7200,4,0,0,0,8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.436164755247825,-0.756802495307928,-0.505845668220208,0,1,0,1,1,1,0,1,0,1,1,0,1
"218",4658,1,39,2,15,61370,0,6,21770,6,35577,3,0,12,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0.963795386284088,-0.279415498198926,-0.944834635127304,1,0,0,1,1,1,0,0,0,1,1,0,1
"221",5259,0,54,0,11,44782,148676,83,30260,3,0,0,0,9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.558789048851616,0.141120008059867,0.178597277978239,0,1,0,1,1,0,1,1,0,1,1,0,0
"227",3769,2,45,2,12,30085,128194,44,7200,4,0,0,3,8,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.850903524534118,-0.756802495307928,-0.505845668220208,0,1,0,1,1,0,1,1,0,1,0,0,0
"230",4363.2375823,0,44,0,8,32317,0,68,22450,7,3738,1,8,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0177019251054136,0.656986598718789,0.17794472534648,0,1,0,1,1,1,0,0,1,1,0,1,0
"235",5523,0,47,0,10.4982474360639,21282,0,40,18150,1,6544,1,3,8,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.123573122745224,0.841470984807897,-0.851710128743314,1,1,0,1,1,1,0,0,1,1,0,0,0
"236",7390.4399588,0,64,0,13,61521,248878,41,7650,1,0,0,8,9,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.920026038196791,0.841470984807897,-0.220072223804394,0,0,1,1,1,0,1,1,0,1,0,0,0
"237",1164.9880662,0,34,1,9,105554,229868,75,5300,4,7504,2,2,20,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.529082686120024,-0.756802495307928,-0.132799924069858,0,0,1,1,1,0,1,0,1,1,1,0,0
"239",2362,1,42,1,3,69290,0,30,23900,4,1052,2,1,11,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,-0.916521547915634,-0.756802495307928,-0.944775377387424,1,0,1,1,0,1,0,1,0,1,1,0,0
"240",6142,0,44.7902097902098,2,8,2954,0,21,3100,9,10099,2,4,5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.722846366048555,0.412118485241757,0.683063594104854,0,1,0,1,1,1,0,0,0,1,0,0,0
"246",1065,0,54,0,13,88668,316419,63,20090,4,10520,2,1,14,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.558789048851616,-0.756802495307928,0.466225793406523,0,0,1,1,1,0,1,0,0,1,1,0,0
"247",5075,0,50,0,13,2657,109134,63,10480,13,20452,2,2,11,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,-0.262374853703929,0.420167036826641,-0.345801056507453,0,0,0,1,1,0,1,0,0,1,1,0,0
"249",680,0,57,0,12,54046,0,19,11650,4,10231,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.436164755247825,-0.756802495307928,0.827387778953949,0,1,0,1,1,1,0,0,0,1,1,1,1
"256",2287,1,42,2,12,68090,169854,45,11750,1,9261,1,3,12,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.916521547915634,0.841470984807897,0.429081417659178,0,0,1,1,1,0,1,0,1,1,0,0,0
"257",6195,0,45,2,4,25032,0,34,6100,1,5771,1,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0.850903524534118,0.841470984807897,-0.826540339206424,0,1,0,1,0,1,0,0,1,1,0,1,0
"258",4862,0,54,0,12,52078,194227,51,23250,1,5039,1,4,18,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,-0.558789048851616,0.841470984807897,0.799960398292519,1,0,1,1,1,0,1,0,1,1,0,0,0
"261",9775.6413423,0,25,1,9,51544,161160,44,20630,1,7767,2,8,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,-0.132351750097773,0.841470984807897,0.743945966077437,0,1,1,1,1,0,1,0,1,1,0,1,0
"263",3418,0,29,1,8,73842,0,25,22340,1,4769,1,4,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.663633884212968,0.841470984807897,-0.13423389787158,0,1,1,1,1,1,0,0,1,1,0,1,0
"264",4423,1,45,2,0,0,0,33,6000,1,41818,1,3,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.850903524534118,0.841470984807897,-0.427719512602322,0,1,0,1,0,1,0,0,0,1,0,1,0
"271",2328,0,41,1,13,109957,260749,50,29470,6,0,0,1,18,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.158622668804709,-0.279415498198926,0.958211556523229,0,0,1,1,1,0,1,1,0,1,1,0,0
"276",4700,0,38,0,14,10486,66515,33,6350,1,5702,1,4,5,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.296368578709385,0.841470984807897,-0.745474930274944,0,1,0,1,1,0,1,0,1,1,0,0,0
"278",6880,0,62,0,12,33713,171810,26,23470,4,41913,3,0,15,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,-0.739180696649223,-0.756802495307928,0.743784795198911,0,0,1,1,1,0,1,0,0,1,1,0,0
"284",4875,0,45,3,14,94325,301739,55,6960,1,0,0,2,14,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.850903524534118,0.841470984807897,-0.980358740533357,0,0,1,1,1,0,1,1,0,1,1,0,0
"290",17290.257664,0,64,0,9,38020,161160,11,28710,7,0,0,0,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.920026038196791,0.656986598718789,0.849618314500312,0,1,1,1,1,0,1,1,0,1,1,0,1
"291",5395,0,32,2,9,60050,212562,31,11480,1,17493,4,2,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.551426681241691,0.841470984807897,0.58139628864806,0,1,0,1,1,0,1,0,0,0,1,1,0
"292",5021,2,39,2,11,54046,0,16,22920,1,0,0,0,10,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.963795386284088,0.841470984807897,-0.872355771332505,0,0,0,1,1,1,0,1,0,1,1,0,1
"297",3149,0,35,0,7,62036,154297,5,16370,4,3913,2,7,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,-0.428182669496151,-0.756802495307928,0.744187641271057,1,1,1,1,1,0,1,0,1,1,0,1,1
"298",3602,0,64,0,15,40528,208306,54,11950,7,5137,1,6,6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.920026038196791,0.656986598718789,-0.579776418809014,0,1,1,1,1,0,1,0,1,1,0,0,0
"301",2516,1,39,2,13,52950,187514,6,10210,1,0,0,0,8,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0.963795386284088,0.841470984807897,-0.175215024255487,0,1,0,1,1,0,1,1,0,1,1,0,1
"302",3259,0,40,1,12,39600,193495,37,5460,1,4188,2,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.745113160479349,0.841470984807897,-0.0879182807304454,0,1,0,1,1,0,1,0,1,1,0,1,0
"309",3085,0,43,1,0,0,86118,41,14240,4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.831774742628598,-0.756802495307928,0.744308442353426,0,1,0,1,0,0,1,1,0,1,1,1,0
"311",3593,0,55,0,0,0,68500,11,8560,6,3769,2,5,14,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.99975517335862,-0.279415498198926,0.744630459526558,0,0,0,1,0,0,1,0,1,1,0,0,1
"312",457.55636455,0,54,0,12,10617,0,14,7960,10,1079,2,2,9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,-0.558789048851616,-0.54402111088937,-0.714412546266269,0,1,0,1,1,1,0,1,0,1,1,0,1
"314",6143,0,46,0,8,140766,375813,41,29220,13,0,0,1,13,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0.901788347648809,0.420167036826641,-0.046711956995562,1,0,1,0,1,0,1,1,0,1,1,0,0
"315",4524,0,26,1,0,0,0,10,4100,1,11279,3,5,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.762558450479603,0.841470984807897,-0.219778160592474,0,0,0,1,0,1,0,0,0,1,0,0,1
"316",4480,0,43,2,11,46224,173103,45,11510,13,0,0,0,10,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,-0.831774742628598,0.420167036826641,-0.714201586312145,0,1,1,1,1,0,1,1,0,1,1,0,0
"320",1766,0,46,0,10.4982474360639,31177,150102,41,25420,9,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0.901788347648809,0.412118485241757,-0.980666683625706,1,1,1,1,1,0,1,1,0,1,1,1,0
"332",40151.706968,0,58,0,11,51870,0,36,24520,4,0,0,5,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0.992872648084537,-0.756802495307928,0.130289802712694,1,1,1,1,1,1,0,1,0,1,0,1,0
"334",1237,0,41,0,14,99959,268154,13,18850,6,0,0,1,11,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.158622668804709,-0.279415498198926,0.429625906926148,0,0,1,1,1,0,1,1,0,1,1,0,1
"335",2876,0,37,0,7,61790,0,32,15150,4,0,0,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-0.643538133356999,-0.756802495307928,0.945856856682187,0,1,1,1,1,1,0,1,0,1,1,0,0
"337",1650,1,37,2,0,0,0,18,1500,3,0,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.643538133356999,0.141120008059867,-0.993901956906654,0,1,0,1,0,1,0,1,0,1,0,1,1
"338",14833.614904,0,49,0,13,28592,183206,31,9260,1,39892,3,6,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,-0.953752652759472,0.841470984807897,-0.987910425581106,0,1,0,1,1,0,1,0,0,1,0,1,0
"339",1796,0,42,2,13,64766,263986,20,11840,18,44414,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,-0.916521547915634,-0.750987246771676,0.615256564743103,0,1,1,1,1,0,1,0,0,1,1,1,1
"342",4057,1,37,2,11,62426,209548,20,11440,13,981,1,0,8,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.643538133356999,0.420167036826641,-0.993994673171693,0,0,0,1,1,0,1,1,0,1,1,0,1
